No.,Currency,Amount Applied For,Amount Awarded,Award Date,Recipient,Funder
428,GBP,3282,3282,15/11/2019, Rosewell Development Trust (RDT),Co-operative Group
40,GBP,5000,5000,12/01/2006,14th Midlothian Scout Group,The National Lottery Community Fund
120,GBP,3400,3400,04/11/2009,15th Midlothian Scout Group,The National Lottery Community Fund
180,GBP,1172,1172,26/04/2012,16th Midlothian Scout Group,The National Lottery Community Fund
194,GBP,1101,1101,09/08/2012,17th Midlothian Scout Group,The National Lottery Community Fund
271,GBP,2623,2623,04/11/2014,18th Midlothian Scout Group,The National Lottery Community Fund
340,GBP,1668,1668,04/08/2017,14th Midlothian Scout Group,Co-operative Group
11,GBP,5000,2625,13/08/2004,1st Midlothian Scout Group,The National Lottery Community Fund
352,GBP,2076,2076,29/11/2017,1st Roslyn Rainbows 1,Co-operative Group
94,GBP,3000,3000,18/06/2008,21st Midlothian Scout Group,The National Lottery Community Fund
176,GBP,4500,4500,15/03/2012,22nd Midlothian Scout Group,The National Lottery Community Fund
289,GBP,4475,4475,14/07/2015,23rd Midlothian Scout Group,The National Lottery Community Fund
339,GBP,1644,1644,04/08/2017,24th Midlothian Scout Group,Co-operative Group
353,GBP,2099,2099,29/11/2017,25th Midlothian Scout Group,Co-operative Group
399,GBP,3991,3991,19/11/2018,26th Midlothian Scout Group,Co-operative Group
431,GBP,3443,3443,15/11/2019,27th Midlothian Scout Group,Co-operative Group
259,GBP,,250,22/05/2014,Beeslack All Stars Disabled Sports Club,Woodward Charitable Trust
395,GBP,3645,3645,19/11/2018,3rd Bonnyrigg brownies,Co-operative Group
62,GBP,9488,9488,13/02/2007,4th Penicuik Guide Unit,The National Lottery Community Fund
394,GBP,3615,3615,19/11/2018,51st Bonnyrigg Boys Brigade,Co-operative Group
61,GBP,4740,2700,13/02/2007,869 Penicuik Squadron ATC,The National Lottery Community Fund
223,GBP,6699,6699,10/04/2013,869 Penicuik Squadron ATC,The National Lottery Community Fund
42,GBP,5000,5000,09/02/2006,Abbeyfield Dalkeith Society Ltd,The National Lottery Community Fund
235,GBP,3500,3500,04/09/2013,Air Training Corps ,The National Lottery Community Fund
178,GBP,6699,6699,10/04/2012,Air Training Corps ,The National Lottery Community Fund
277,GBP,3111,3111,26/01/2015,Air Training Corps ,The National Lottery Community Fund
409,GBP,,500,28/03/2019,2nd Chryston Rainbow Unit,The National Lottery Community Fund
457,GBP,6100,6100,19/05/2020,Alive and Kicking,The National Lottery Community Fund
354,GBP,2101,2101,29/11/2017,Amuse Me Playgroup,Co-operative Group
382,GBP,40500,40500,11/09/2018,Anam Cara,The Robertson Trust
454,GBP,8754,8754,07/05/2020,ANAM CARA,The National Lottery Community Fund
193,GBP,1994,1994,08/08/2012,Arniston Rangers Youth Football Club,The National Lottery Community Fund
378,GBP,9800,9800,21/06/2018,Artlink Edinburgh and the Lothians,The National Lottery Heritage Fund
239,GBP,8000,8000,21/01/2014,Assist Social Capital CIC,The National Lottery Community Fund
452,GBP,29931,29931,05/05/2020,Association for Real Change (ARC),Esmée Fairbairn Foundation
153,GBP,4050,4050,28/03/2011,Association of Scottish Talking Newspapers,The National Lottery Community Fund
65,GBP,10000,10000,09/03/2007,Beeslack All Stars Disabled Sports Club,The National Lottery Community Fund
389,GBP,15000,15000,25/10/2018,Beeslack All Stars Disabled Sports Club,The Robertson Trust
437,GBP,,500,26/02/2020,Cousland Majority,The National Lottery Community Fund
37,GBP,5000,5000,04/10/2005,Beeslack Community High School,The National Lottery Community Fund
108,GBP,10000,10000,15/04/2009,Beeslack Community High School,The National Lottery Community Fund
130,GBP,580,580,26/03/2010,Beeslack Community High School,The National Lottery Community Fund
170,GBP,947,947,08/12/2011,Beeslack Community High School,The National Lottery Community Fund
221,GBP,2000,2000,20/03/2013,Beeslack Community High School,The National Lottery Community Fund
258,GBP,4688,4688,19/05/2014,Beeslack Community High School,The National Lottery Community Fund
461,GBP,2000,2000,10/06/2020,Beeslack Family Club and Lend aa Ear Project,Scottish Government
334,GBP,4160,4160,31/05/2017,Beeslack Family Disabled Club,R S Macdonald Charitable Trust
358,GBP,15000,15000,13/12/2017,Bill Russell Woodburn Youth Project,The Robertson Trust
385,GBP,9750,9750,14/09/2018,Bill Russell Woodburn Youth Project,The National Lottery Community Fund
442,GBP,2000,2000,05/05/2020,Bill Russell Woodburn Youth Project,Scottish Government
213,GBP,9364,9364,27/02/2013,Bilston Activities Group,The National Lottery Community Fund
112,GBP,4544,4544,01/07/2009,Bonnyrigg & Sherwood Community Development Trust,The National Lottery Community Fund
215,GBP,10000,7554,27/02/2013,Bonnyrigg & Sherwood Community Development Trust,The National Lottery Community Fund
49,GBP,4660,4660,07/06/2006,Bonnyrigg After School Club,The National Lottery Community Fund
126,GBP,5678,5678,15/01/2010,Bonnyrigg After School Club,The National Lottery Community Fund
146,GBP,10000,10000,28/01/2011,Bonnyrigg After School Club,The National Lottery Community Fund
323,GBP,10000,10000,20/12/2016,Bonnyrigg After School Club,The National Lottery Community Fund
343,GBP,1727,1727,04/08/2017,Bonnyrigg After School Club,Co-operative Group
466,GBP,2000,2000,16/06/2020,Bonnyrigg After School Club,Scottish Government
344,GBP,1818,1818,04/08/2017,bonnyrigg and lasswade seniors forum,Co-operative Group
230,GBP,8500,8500,18/06/2013,Bonnyrigg Playgroup,The National Lottery Community Fund
427,GBP,3228,3228,15/11/2019,Bonnyrigg Rose Football Club,Co-operative Group
460,GBP,2000,2000,03/06/2020,Bonnyrigg Rose Football Club,Scottish Government
396,GBP,3784,3784,19/11/2018,Bonnyrigg Rose Football Club ,Co-operative Group
